Heaven/Earth 0=Heaven; 1=Earth,Condition: 1= In Play; 2=Out of play; 3=leading; 4=trailing,Number Requested,"X: 1=Left most column, counting to the right to max of 2 or 3","Y: 1 equals top row (i.e., out of play heavenly bead), counting downwards to 7. ",Correct on Search task? Trials weith incorrect search responses were excluded from analysis,RT,Abacus entered:Number child entered for abacus reading,Correct on Abacus: 1=correct; 0=incorrect,"Number of columns: occasionally you will see 0s in this column, this means the participant was in a pilot version with 4 columns and should be excluded. ",Subject Number: Assigned when extracted from .mat instead of alpha numeric number to make some things in life easier,<3Std Dev: removing outliers (2s). Calculated in linear space. Needs to be redone in log space,Inout or Leading trailing trial
0,2,35,1,1,1,1.84,35,1,2,101,1,IN/OUT
1,1,60,2,3,1,3.05,60,1,3,101,1,IN/OUT
0,1,737,3,2,1,3.4,737,1,3,101,1,IN/OUT
1,1,377,3,4,1,2.14,477,0,3,101,1,IN/OUT
0,4,70,2,1,1,6.39,70,1,2,101,1,leading/trailing
0,3,5,1,1,1,3.56,5,1,2,101,1,leading/trailing
1,4,40,2,5,1,3.66,40,1,2,101,1,leading/trailing
1,3,39,1,6,1,3.03,39,1,3,101,1,leading/trailing
1,4,90,2,4,1,2.25,90,1,2,101,1,leading/trailing
1,3,4,1,7,1,1.92,4,1,2,101,1,leading/trailing
1,3,2,1,4,1,2.53,2,1,2,101,1,leading/trailing
0,3,69,1,1,1,2.66,69,1,3,101,1,leading/trailing
1,3,81,1,7,1,2.26,610,0,3,101,1,leading/trailing
0,3,7,1,1,1,6.49,7,1,2,101,1,leading/trailing
1,1,230,1,4,1,2.96,230,1,3,101,1,IN/OUT
0,4,70,2,1,1,3.74,70,1,2,101,1,leading/trailing
1,2,93,2,7,1,3.08,93,1,2,101,1,IN/OUT
0,3,4,1,1,1,3.71,4,1,2,101,1,leading/trailing
1,2,469,2,6,1,3.45,469,1,3,101,1,IN/OUT
1,4,70,2,7,1,1.95,70,1,2,101,1,leading/trailing
1,3,77,1,6,0,2.64,77,1,3,101,1,leading/trailing
1,1,82,2,3,1,3.54,82,1,2,101,1,IN/OUT
0,2,62,3,1,1,5.04,62,1,3,101,1,IN/OUT
1,1,64,2,4,1,2.07,64,1,2,101,1,IN/OUT
1,4,150,3,6,1,2.49,150,1,3,101,1,leading/trailing
0,4,470,3,1,1,3.03,470,1,3,101,1,leading/trailing
1,2,67,1,7,1,2.44,67,1,2,101,1,IN/OUT
1,4,50,2,6,1,2,50,1,2,101,1,leading/trailing
0,4,710,3,1,1,2.82,710,1,3,101,1,leading/trailing
1,4,650,3,4,1,1.64,650,1,3,101,1,leading/trailing
1,4,530,3,4,1,1.7,530,1,3,101,1,leading/trailing
1,4,850,3,6,1,3.46,850,1,3,101,1,leading/trailing
0,2,45,1,1,1,5.04,45,1,2,101,1,IN/OUT
1,2,33,1,7,1,6.12,33,1,2,101,1,IN/OUT
1,2,155,2,4,1,1.86,155,1,3,101,1,IN/OUT
1,4,30,2,6,1,3.09,30,1,2,101,1,leading/trailing
0,3,4,1,1,1,1.93,4,1,2,101,1,leading/trailing
1,3,4,1,5,1,1.98,4,1,2,101,1,leading/trailing
1,4,480,3,5,1,3.9,480,1,3,101,1,leading/trailing
1,3,92,1,5,1,3.58,92,1,3,101,1,leading/trailing
1,2,79,1,6,1,4.62,79,1,2,101,1,IN/OUT
1,2,28,1,7,1,3.42,28,1,2,101,1,IN/OUT
1,4,30,2,7,1,1.53,30,1,2,101,1,leading/trailing
1,4,30,2,4,1,1.61,30,1,2,101,1,leading/trailing
1,3,69,1,4,1,4.42,69,1,3,101,1,leading/trailing
1,4,20,2,6,1,3.59,20,1,2,101,1,leading/trailing
0,4,260,3,1,1,2.59,260,1,3,101,1,leading/trailing
1,4,50,2,5,1,2.29,50,1,2,101,1,leading/trailing
0,2,81,2,1,1,3.4,81,1,2,101,1,IN/OUT
1,2,20,2,5,1,3.21,20,1,2,101,1,IN/OUT
1,4,520,3,5,1,2.23,520,1,3,101,1,leading/trailing
1,1,91,1,6,1,1.69,91,1,2,101,1,IN/OUT
1,1,51,2,3,1,1.63,51,1,2,101,1,IN/OUT
0,4,80,2,1,1,1.93,80,1,2,101,1,leading/trailing
1,3,24,1,4,1,2.56,24,1,3,101,1,leading/trailing
1,3,66,1,4,1,3.09,66,1,3,101,1,leading/trailing
1,1,311,1,3,1,2.56,311,1,3,101,1,IN/OUT
1,4,40,2,4,1,2.87,40,1,2,101,1,leading/trailing
1,1,86,1,5,1,2.27,86,1,2,101,1,IN/OUT
1,4,810,3,7,1,3.98,810,1,3,101,1,leading/trailing
0,1,695,1,2,1,2.91,695,1,3,101,1,IN/OUT
0,2,4,1,1,1,1.97,4,1,2,101,1,IN/OUT
1,4,40,2,7,1,2.01,40,1,2,101,1,leading/trailing
1,1,15,1,3,1,1.51,15,1,2,101,1,IN/OUT
1,2,16,2,5,1,1.95,16,1,2,101,1,IN/OUT
0,3,79,1,1,1,3.5,79,1,3,101,1,leading/trailing
1,3,2,1,7,1,1.63,2,1,2,101,1,leading/trailing
1,1,562,2,3,1,2.96,562,1,3,101,1,IN/OUT
1,1,944,3,6,1,2.19,944,1,3,101,1,IN/OUT
0,1,51,1,2,1,1.79,51,1,2,101,1,IN/OUT
1,2,7,1,5,1,1.67,7,1,2,101,1,IN/OUT
1,3,4,1,6,1,2.5,4,1,2,101,1,leading/trailing
1,4,840,3,7,1,2.91,840,1,3,101,1,leading/trailing
1,2,461,2,7,1,2.46,461,1,3,101,1,IN/OUT
1,3,43,1,6,1,2.02,43,1,3,101,1,leading/trailing
1,1,360,1,4,1,2.64,360,1,3,101,1,IN/OUT
1,2,809,2,7,1,2.58,809,1,3,101,1,IN/OUT
1,1,60,1,3,1,1.58,60,1,2,101,1,IN/OUT
1,3,1,1,6,1,2.11,1,1,2,101,1,leading/trailing
1,3,69,1,6,1,3.13,69,1,3,101,1,leading/trailing
1,3,5,1,7,1,2.8,5,1,2,101,1,leading/trailing
0,1,35,2,2,1,3.7,35,1,2,101,1,IN/OUT
1,2,41,2,7,1,1.93,41,1,2,101,1,IN/OUT
1,2,319,2,5,1,2.68,319,1,3,101,1,IN/OUT
1,4,520,3,7,1,1.7,520,1,3,101,1,leading/trailing
1,2,97,2,7,1,3,97,1,2,101,1,IN/OUT
1,2,313,2,6,1,5.98,313,1,3,102,1,IN/OUT
1,2,763,1,6,1,4.08,763,1,3,102,1,IN/OUT
0,4,20,2,1,1,3.17,20,1,2,102,1,leading/trailing
1,4,140,3,7,1,2.29,140,1,3,102,1,leading/trailing
1,1,821,2,4,1,2.27,821,1,3,102,1,IN/OUT
1,2,1,1,7,1,2.51,1,1,2,102,1,IN/OUT
1,2,5,2,6,1,6.2,5,1,2,102,1,IN/OUT
1,3,6,1,6,1,1.86,6,1,2,102,1,leading/trailing
0,2,162,1,1,1,2.83,162,1,3,102,1,IN/OUT
1,4,150,3,7,1,2.08,150,1,3,102,1,leading/trailing
1,1,855,1,3,1,2.91,855,1,3,102,1,IN/OUT
1,2,795,3,4,1,3.79,795,1,3,102,1,IN/OUT
1,4,630,3,5,1,4.01,630,1,3,102,1,leading/trailing
1,4,70,2,4,1,2.34,70,1,2,102,1,leading/trailing
1,3,8,1,7,1,6.79,8,1,2,102,1,leading/trailing
1,3,7,1,4,1,1.82,7,1,2,102,1,leading/trailing
1,1,86,1,4,1,4.29,86,1,2,102,1,IN/OUT
0,4,850,3,1,1,3.34,850,1,3,102,1,leading/trailing
1,4,670,3,5,1,2.52,670,1,3,102,1,leading/trailing
1,4,50,2,5,1,2.58,50,1,2,102,1,leading/trailing
0,4,40,2,1,1,2.08,40,1,2,102,1,leading/trailing
0,2,29,1,1,1,1.66,29,1,2,102,1,IN/OUT
1,1,848,2,5,1,3,848,1,3,102,1,IN/OUT
1,4,630,3,4,1,2.23,630,1,3,102,1,leading/trailing
0,4,80,2,1,1,2.25,80,1,2,102,1,leading/trailing
1,2,75,2,4,1,2.92,75,1,2,102,1,IN/OUT
1,2,56,1,6,1,3.31,56,1,2,102,1,IN/OUT
0,2,505,2,1,1,2.9,505,1,3,102,1,IN/OUT
0,3,1,1,1,1,1.66,1,1,2,102,1,leading/trailing
1,3,21,1,5,1,2.51,21,1,3,102,1,leading/trailing
1,3,8,1,6,1,2.58,8,1,2,102,1,leading/trailing
1,1,96,2,3,1,2.17,96,1,2,102,1,IN/OUT
0,1,187,2,2,1,2.56,187,1,3,102,1,IN/OUT
0,3,9,1,1,1,2.07,9,1,2,102,1,leading/trailing
1,2,820,3,5,1,2.45,820,1,3,102,1,IN/OUT
1,1,983,3,3,1,2.22,983,1,3,102,1,IN/OUT
1,1,52,2,4,1,1.65,52,1,2,102,1,IN/OUT
0,2,15,1,1,1,1.56,15,1,2,102,1,IN/OUT
1,3,66,1,6,1,4.47,66,1,3,102,1,leading/trailing
1,3,75,1,7,1,2.55,75,1,3,102,1,leading/trailing
1,1,2,2,3,1,1.29,2,1,2,102,1,IN/OUT
1,2,698,1,6,1,2.37,698,1,3,102,1,IN/OUT
0,4,80,2,1,1,1.78,80,1,2,102,1,leading/trailing
1,1,607,3,4,1,1.94,607,1,3,102,1,IN/OUT
1,1,52,2,4,1,1.41,52,1,2,102,1,IN/OUT
1,1,640,1,3,1,2.85,640,1,3,102,1,IN/OUT
0,1,64,1,2,1,3.66,64,1,2,102,1,IN/OUT
1,3,13,1,4,1,1.71,13,1,3,102,1,leading/trailing
1,2,58,1,7,1,2.19,58,1,2,102,1,IN/OUT
1,2,16,3,6,1,2.48,16,1,3,102,1,IN/OUT
1,1,511,3,3,1,3.23,511,1,3,102,1,IN/OUT
1,2,87,1,7,1,3.03,87,1,2,102,1,IN/OUT
0,1,871,2,2,1,2.2,821,0,3,102,1,IN/OUT
0,1,615,1,2,1,6.1,615,1,3,102,1,IN/OUT
1,3,54,1,6,1,2.75,54,1,3,102,1,leading/trailing
1,2,551,2,7,1,3.06,551,1,3,102,1,IN/OUT
1,2,505,1,5,1,2.76,505,1,3,102,1,IN/OUT
1,4,10,2,4,1,1.81,10,1,2,102,1,leading/trailing
1,4,90,2,5,1,2.27,90,1,2,102,1,leading/trailing
1,2,70,2,6,1,2.68,70,1,2,102,1,IN/OUT
1,3,68,1,4,1,1.83,68,1,3,102,1,leading/trailing
1,3,81,1,4,1,1.59,81,1,3,102,1,leading/trailing
0,3,4,1,1,1,2,4,1,2,102,1,leading/trailing
1,3,7,1,5,1,2.92,7,1,2,102,1,leading/trailing
1,4,80,2,5,1,2.11,80,1,2,102,1,leading/trailing
1,1,751,3,3,1,2.64,751,1,3,102,1,IN/OUT
0,2,52,2,1,1,2.51,52,1,2,102,1,IN/OUT
1,4,90,2,4,1,3.02,90,1,2,102,1,leading/trailing
1,4,750,3,6,1,3.69,750,1,3,102,1,leading/trailing
1,4,310,3,7,1,2.49,310,1,3,102,1,leading/trailing
1,3,8,1,5,1,2.39,8,1,2,102,1,leading/trailing
0,3,58,1,1,1,1.9,58,1,3,102,1,leading/trailing
1,2,81,2,7,1,2.98,81,1,2,102,1,IN/OUT
1,2,66,2,5,1,2.94,66,1,2,102,1,IN/OUT
0,3,88,1,1,1,2.12,88,1,3,102,1,leading/trailing
1,4,480,3,6,1,4.43,480,1,3,102,1,leading/trailing
1,2,547,1,4,1,2.59,547,1,3,102,1,IN/OUT
1,1,74,2,3,1,1.75,74,1,2,102,1,IN/OUT
0,1,87,2,2,1,1.76,87,1,2,102,1,IN/OUT
0,4,980,3,1,1,3.58,980,1,3,102,1,leading/trailing
1,2,998,3,7,1,4.47,998,1,3,102,1,IN/OUT
1,3,8,1,4,1,2.02,8,1,2,102,1,leading/trailing
0,3,8,1,1,1,2.58,8,1,2,102,1,leading/trailing
1,2,76,1,7,1,1.98,76,1,2,102,1,IN/OUT
1,2,63,1,7,1,1.76,63,1,2,102,1,IN/OUT
1,1,41,1,5,1,1.87,41,1,2,102,1,IN/OUT
1,3,2,1,7,1,2.52,2,1,2,102,1,leading/trailing
0,3,97,1,1,1,2.44,97,1,3,102,1,leading/trailing
1,3,57,1,6,1,2.08,57,1,3,102,1,leading/trailing
0,1,36,2,2,1,2.38,36,1,2,102,1,IN/OUT
0,2,49,1,1,1,3.02,49,1,2,102,1,IN/OUT
1,1,41,1,5,1,1.31,41,1,2,102,1,IN/OUT
1,3,2,1,7,1,2.9,2,1,2,102,1,leading/trailing
1,3,83,1,7,1,2.4,83,1,3,102,1,leading/trailing
1,2,235,1,6,1,3.91,235,1,3,102,1,IN/OUT
1,1,45,1,4,1,1.62,45,1,2,102,1,IN/OUT
1,4,410,3,4,1,3.19,410,1,3,102,1,leading/trailing
1,4,50,2,5,1,1.59,50,1,2,102,1,leading/trailing
1,1,200,1,3,1,2.75,200,1,3,102,1,IN/OUT
0,3,29,1,1,1,2.79,29,1,3,102,1,leading/trailing
1,2,23,1,7,1,1.83,23,1,2,102,1,IN/OUT
1,4,10,2,7,1,1.86,10,1,2,102,1,leading/trailing
1,2,182,1,6,1,1.88,182,1,3,102,1,IN/OUT
0,2,438,2,1,1,2.38,438,1,3,102,1,IN/OUT
1,3,5,1,5,1,2.78,5,1,2,102,1,leading/trailing
1,3,97,1,7,1,11,97,1,3,102,1,leading/trailing
1,4,740,3,5,1,3.34,740,1,3,102,1,leading/trailing
0,1,45,3,2,1,2.26,45,1,3,102,1,IN/OUT
1,1,394,3,6,1,2.78,394,1,3,102,1,IN/OUT
1,3,93,1,6,1,2.65,93,1,3,102,1,leading/trailing
1,4,580,3,5,1,1.88,580,1,3,102,1,leading/trailing
1,4,90,2,7,1,4.61,90,1,2,102,1,leading/trailing
1,3,5,1,5,1,2.31,5,1,2,102,1,leading/trailing
1,1,76,1,4,1,2.71,76,1,2,102,1,IN/OUT
1,4,30,2,4,1,1.58,30,1,2,102,1,leading/trailing
1,3,13,1,6,1,2.1,13,1,3,102,1,leading/trailing
1,1,758,1,3,1,3.43,758,1,3,102,1,IN/OUT
0,4,540,3,1,1,2.73,540,1,3,102,1,leading/trailing
0,4,460,3,1,1,1.99,460,1,3,102,1,leading/trailing
1,4,70,2,5,1,2.54,70,1,2,102,1,leading/trailing
1,1,158,3,5,1,6.13,158,1,3,102,1,IN/OUT
1,4,360,3,4,1,2,360,1,3,102,1,leading/trailing
1,3,5,1,5,1,1.78,5,1,2,102,1,leading/trailing
1,1,91,1,5,1,1.75,91,1,2,102,1,IN/OUT
0,1,51,1,2,1,2.1,51,1,2,102,1,IN/OUT
1,1,99,1,3,1,2.35,99,1,2,102,1,IN/OUT
1,4,60,2,5,1,1.84,60,1,2,102,1,leading/trailing
0,2,379,1,1,1,3.51,329,0,3,102,1,IN/OUT
1,3,8,1,6,1,4.81,8,1,2,103,1,leading/trailing
0,3,5,1,1,1,5.48,5,1,2,103,1,leading/trailing
0,1,746,1,2,1,4.58,746,1,3,103,1,IN/OUT
0,2,41,1,1,1,2.98,41,1,2,103,1,IN/OUT
1,4,90,2,7,1,3.3,90,1,2,103,1,leading/trailing
1,1,953,3,5,1,5.2,953,1,3,103,1,IN/OUT
0,3,4,1,1,1,3.12,4,1,2,103,1,leading/trailing
1,1,6,2,3,1,1.47,6,1,2,103,1,IN/OUT
1,1,177,3,4,1,2.15,177,1,3,103,1,IN/OUT
1,2,5,1,7,1,2.51,5,1,2,103,1,IN/OUT
1,4,40,2,5,1,3.79,40,1,2,103,1,leading/trailing
1,3,83,1,6,1,2.89,83,1,3,103,1,leading/trailing
1,1,49,1,4,1,2.24,49,1,2,103,1,IN/OUT
1,4,80,2,6,1,2.11,80,1,2,103,1,leading/trailing
1,1,157,1,3,1,3.45,157,1,3,103,1,IN/OUT
1,2,52,2,6,1,2.71,52,1,3,103,1,IN/OUT
1,4,310,3,7,1,1.91,310,1,3,103,1,leading/trailing
1,2,303,2,5,1,1.6,303,1,3,103,1,IN/OUT
1,3,38,1,5,1,3.11,38,1,3,103,1,leading/trailing
0,1,417,3,2,1,3.02,417,1,3,103,1,IN/OUT
1,3,15,1,5,1,3.61,15,1,3,103,1,leading/trailing
0,2,612,2,1,1,2.84,612,1,3,103,1,IN/OUT
1,1,12,2,3,1,2.37,12,1,2,103,1,IN/OUT
1,4,610,3,7,1,2.03,610,1,3,103,1,leading/trailing
0,4,80,2,1,1,2.58,80,1,2,103,1,leading/trailing
1,2,62,1,6,1,1.62,62,1,2,103,1,IN/OUT
1,4,240,3,6,1,2.51,24,0,3,103,1,leading/trailing
1,4,520,3,5,1,4.86,520,1,3,103,1,leading/trailing
0,4,490,3,1,1,2.64,490,1,3,103,1,leading/trailing
1,2,27,2,7,1,2.39,27,1,2,103,1,IN/OUT
1,2,33,1,7,1,2.47,33,1,2,103,1,IN/OUT
0,4,130,3,1,1,3.04,130,1,3,103,1,leading/trailing
1,4,160,3,4,1,2.87,160,1,3,103,1,leading/trailing
1,4,630,3,7,1,2.37,630,1,3,103,1,leading/trailing
1,3,72,1,6,1,2.59,72,1,3,103,1,leading/trailing
1,2,740,1,7,1,2.55,740,1,3,103,1,IN/OUT
1,1,612,1,3,1,2.23,612,1,3,103,1,IN/OUT
0,4,60,2,1,1,2.3,60,1,2,103,1,leading/trailing
1,3,68,1,5,1,5.19,68,1,3,103,1,leading/trailing
1,3,5,1,4,1,2.06,5,1,2,103,1,leading/trailing
0,3,5,1,1,1,3.81,5,1,2,103,1,leading/trailing
1,3,2,1,4,1,3.28,2,1,2,103,1,leading/trailing
0,4,90,2,1,1,3.25,90,1,2,103,1,leading/trailing
1,2,842,3,7,1,5.27,842,1,3,103,1,IN/OUT
1,2,37,2,6,1,3.95,37,1,2,103,1,IN/OUT
1,4,650,3,7,1,6.24,650,1,3,103,1,leading/trailing
1,1,318,3,3,1,5.42,318,1,3,103,1,IN/OUT
1,4,280,3,5,1,2.04,280,1,3,103,1,leading/trailing
1,2,696,1,7,1,3.24,696,1,3,103,1,IN/OUT
1,3,34,1,4,1,2.42,34,1,3,103,1,leading/trailing
1,4,50,2,4,1,2.79,50,1,2,103,1,leading/trailing
1,3,3,1,6,1,3.25,3,1,2,103,1,leading/trailing
1,3,9,1,7,1,2.2,9,1,2,103,1,leading/trailing
1,2,80,2,4,1,4.45,80,1,2,103,1,IN/OUT
1,4,30,2,4,1,2.15,30,1,2,103,1,leading/trailing
1,2,82,2,6,1,1.74,82,1,2,103,1,IN/OUT
1,2,926,2,7,1,3.81,926,1,3,103,1,IN/OUT
0,1,88,2,2,1,2.1,88,1,2,103,1,IN/OUT
0,4,30,2,1,1,2.87,30,1,2,103,1,leading/trailing
0,1,36,2,2,1,1.99,36,1,2,103,1,IN/OUT
1,1,422,3,4,1,2.13,422,1,3,103,1,IN/OUT
1,4,10,2,6,1,2.56,10,1,2,103,1,leading/trailing
1,3,77,1,5,1,3.25,77,1,3,103,1,leading/trailing
1,1,18,2,5,1,2.71,18,1,2,103,1,IN/OUT
1,4,80,2,4,1,3.34,80,1,2,103,1,leading/trailing
1,2,568,1,5,1,3.61,568,1,3,103,1,IN/OUT
1,3,87,1,5,1,2.28,87,1,3,103,1,leading/trailing
1,1,78,2,3,1,2.74,78,1,2,103,1,IN/OUT
1,1,38,3,5,1,1.86,8,0,3,103,1,IN/OUT
1,3,78,1,4,1,4.44,78,1,3,103,1,leading/trailing
1,1,945,1,6,1,3.17,945,1,3,103,1,IN/OUT
1,4,70,2,6,1,5.88,70,1,2,103,1,leading/trailing
1,2,69,1,6,1,2.81,69,1,2,103,1,IN/OUT
1,2,70,1,6,1,2.06,0,0,2,103,1,IN/OUT
1,1,65,1,3,1,2.82,65,1,2,103,1,IN/OUT
1,4,20,2,4,1,1.59,20,1,2,103,1,leading/trailing
1,3,8,1,5,1,2.26,8,1,2,103,1,leading/trailing
1,2,63,1,7,1,4.04,63,1,2,103,1,IN/OUT
1,1,767,3,3,1,3.84,767,1,3,103,1,IN/OUT
0,2,51,2,1,1,3.43,51,1,2,103,1,IN/OUT
0,4,260,3,1,1,3.17,260,1,3,103,1,leading/trailing
1,4,50,2,7,1,3.76,50,1,2,103,1,leading/trailing
1,1,77,1,4,1,1.73,77,1,2,103,1,IN/OUT
0,3,2,1,1,1,3.64,2,1,2,103,1,leading/trailing
1,3,1,1,7,1,2.69,1,1,2,103,1,leading/trailing
0,1,978,2,2,1,2.33,978,1,3,103,1,IN/OUT
1,3,83,1,7,1,2.54,83,1,3,103,1,leading/trailing
0,2,167,1,1,1,3.1,167,1,3,103,1,IN/OUT
0,2,554,3,1,1,3.38,554,1,3,103,1,IN/OUT
1,2,61,2,5,1,2.52,61,1,3,103,1,IN/OUT
1,1,87,1,3,1,2.33,87,1,2,103,1,IN/OUT
1,3,1,1,7,1,2.15,1,1,2,103,1,leading/trailing
0,3,44,1,1,1,2.53,44,1,3,103,1,leading/trailing
1,1,40,1,3,1,2.78,40,1,2,103,1,IN/OUT
0,3,14,1,1,1,3.16,14,1,3,103,1,leading/trailing
0,1,5,2,2,1,1.94,5,1,2,103,1,IN/OUT
0,2,48,1,1,1,5.07,48,1,2,103,1,IN/OUT
1,1,93,2,5,1,1.9,93,1,2,103,1,IN/OUT
1,2,55,1,4,1,2.06,55,1,2,103,1,IN/OUT
0,3,72,1,1,1,1.88,72,1,3,103,1,leading/trailing
1,4,40,2,5,1,2.86,40,1,2,103,1,leading/trailing
1,4,790,3,4,1,2.68,90,0,3,103,1,leading/trailing
1,3,4,1,4,1,4.17,4,1,2,103,1,leading/trailing
1,4,870,3,7,1,2.03,870,1,3,103,1,leading/trailing
1,2,198,1,5,1,2.2,198,1,3,103,1,IN/OUT
0,2,729,2,1,1,2.33,729,1,3,103,1,IN/OUT
0,3,75,1,1,1,3.28,75,1,3,103,1,leading/trailing
1,4,850,3,4,1,2.83,850,1,3,103,1,leading/trailing
0,2,37,1,1,1,1.84,37,1,2,103,1,IN/OUT
1,3,5,1,4,1,1.86,5,1,2,103,1,leading/trailing
1,1,88,2,3,1,1.77,88,1,2,103,1,IN/OUT
1,3,66,1,5,1,2.23,66,1,3,103,1,leading/trailing
1,1,79,1,3,1,1.56,79,1,2,103,1,IN/OUT
1,1,974,1,3,1,3.32,974,1,3,103,1,IN/OUT
0,1,35,2,2,1,2.04,35,1,2,103,1,IN/OUT
1,4,910,3,6,1,2.8,910,1,3,103,1,leading/trailing
1,1,835,2,3,1,2.37,835,1,3,103,1,IN/OUT
0,1,347,3,2,1,2.52,347,1,3,103,1,IN/OUT
1,3,15,1,6,1,2.17,15,1,3,103,1,leading/trailing
1,4,40,2,7,1,2.78,40,1,2,103,1,leading/trailing
1,1,863,1,4,1,2.38,863,1,3,103,1,IN/OUT
1,3,4,1,7,1,2.53,4,1,2,103,1,leading/trailing
1,2,852,3,7,1,3.19,852,1,3,103,1,IN/OUT
0,4,670,3,1,1,2.16,70,0,3,103,1,leading/trailing
1,2,502,2,6,1,3.32,502,1,3,103,1,IN/OUT
1,3,7,1,4,1,2.57,7,1,2,103,1,leading/trailing
1,2,24,1,6,1,2.66,24,1,2,103,1,IN/OUT
1,2,906,2,7,1,2.41,906,1,3,103,1,IN/OUT
1,2,527,3,7,1,5.93,527,1,3,104,1,IN/OUT
1,1,63,2,3,1,7.53,63,1,2,104,1,IN/OUT
1,2,940,3,6,1,3.31,940,1,3,104,1,IN/OUT
0,4,120,3,1,1,4.01,120,1,3,104,1,leading/trailing
0,1,60,1,2,1,2.84,60,1,2,104,1,IN/OUT
1,2,12,1,5,1,2.25,12,1,2,104,1,IN/OUT
1,2,21,2,5,1,6.92,21,1,2,104,1,IN/OUT
0,1,944,1,2,1,3.24,944,1,3,104,1,IN/OUT
0,3,78,1,1,1,5.98,78,1,3,104,1,leading/trailing
1,4,320,3,4,1,5.29,320,1,3,104,1,leading/trailing
0,1,55,1,2,1,2.81,55,1,2,104,1,IN/OUT
1,2,8,2,7,1,7.91,8,1,2,104,1,IN/OUT
0,4,50,2,1,1,21.5,50,1,2,104,2,leading/trailing
0,3,18,1,1,1,9.86,18,1,3,104,1,leading/trailing
1,2,33,1,7,1,2.83,33,1,2,104,1,IN/OUT
1,2,462,2,5,1,4.33,462,1,3,104,1,IN/OUT
0,1,774,2,2,1,6.94,774,1,3,104,1,IN/OUT
1,3,17,1,7,1,2.8,17,1,3,104,1,leading/trailing
1,1,241,2,3,1,3.2,241,1,3,104,1,IN/OUT
0,2,726,2,1,1,4.31,726,1,3,104,1,IN/OUT
