Heaven/Earth 0=Heaven; 1=Earth,Condition: 1= In Play; 2=Out of play; 3=leading; 4=trailing,Number Requested,"X: 1=Left most column, counting to the right to max of 2 or 3","Y: 1 equals top row (i.e., out of play heavenly bead), counting downwards to 7. ",Correct on Search task? Trials weith incorrect search responses were excluded from analysis,RT,Abacus entered:Number child entered for abacus reading,Correct on Abacus: 1=correct; 0=incorrect,"Number of columns: occasionally you will see 0s in this column, this means the participant was in a pilot version with 4 columns and should be excluded. ",Subject Number: Assigned when extracted from .mat instead of alpha numeric number to make some things in life easier,<3Std Dev: removing outliers (2s). Calculated in linear space. Needs to be redone in log space,Inout or Leading trailing trial
1,1,699,2,4,1,4.81,699,1,3,101,1,IN/OUT
1,1,25,1,3,1,2.08,25,1,2,101,1,IN/OUT
1,2,907,2,4,1,5.79,907,1,3,101,1,IN/OUT
1,3,77,1,7,1,2.5,77,1,3,101,1,leading/trailing
0,4,840,3,1,1,2.91,840,1,3,101,1,leading/trailing
0,3,77,1,1,1,4.36,77,1,3,101,1,leading/trailing
0,1,90,1,2,1,3.29,90,1,2,101,1,IN/OUT
1,3,6,1,5,1,3.49,6,1,2,101,1,leading/trailing
1,2,792,3,7,1,2.74,792,1,3,101,1,IN/OUT
1,1,223,1,3,1,3.23,223,1,3,101,1,IN/OUT
1,3,3,1,5,1,2.43,3,1,2,101,1,leading/trailing
1,1,20,1,4,1,2.6,20,1,2,101,1,IN/OUT
0,2,525,2,1,1,4.39,525,1,3,101,1,IN/OUT
1,1,41,1,4,1,1.98,41,1,2,101,1,IN/OUT
1,3,6,1,7,1,3.53,6,1,2,101,1,leading/trailing
0,1,28,2,2,1,2.4,28,1,2,101,1,IN/OUT
1,3,77,1,5,1,2.11,77,1,3,101,1,leading/trailing
0,1,119,3,2,1,3.32,119,1,3,101,1,IN/OUT
0,3,68,1,1,1,3.63,68,1,3,101,1,leading/trailing
1,3,3,1,6,1,2.85,3,1,2,101,1,leading/trailing
0,4,90,2,1,1,2.12,90,1,2,101,1,leading/trailing
1,2,200,2,7,1,3.43,200,1,3,101,1,IN/OUT
1,2,51,1,4,1,1.9,51,1,3,101,1,IN/OUT
1,2,12,1,5,1,2.66,12,1,2,101,1,IN/OUT
0,2,411,2,1,1,4.28,411,1,3,101,1,IN/OUT
1,1,459,1,4,1,4.04,459,1,3,101,1,IN/OUT
1,1,189,3,3,1,2.15,189,1,3,101,1,IN/OUT
1,4,990,3,5,1,1.91,990,1,3,101,1,leading/trailing
1,2,87,1,7,1,2.69,87,1,2,101,1,IN/OUT
1,4,810,3,6,1,2.52,810,1,3,101,1,leading/trailing
1,2,764,1,6,1,1.81,764,1,3,101,1,IN/OUT
1,1,989,3,3,1,3.64,989,1,3,101,1,IN/OUT
0,1,603,1,2,1,2.56,603,1,3,101,1,IN/OUT
1,3,8,1,6,1,2.41,8,1,2,101,1,leading/trailing
1,4,20,2,6,1,2.39,20,1,2,101,1,leading/trailing
1,1,30,1,3,1,2.12,30,1,2,101,1,IN/OUT
1,2,866,2,6,1,3.77,866,1,3,101,1,IN/OUT
0,2,63,3,1,1,5.8,63,1,3,101,1,IN/OUT
1,3,45,1,5,1,3.56,45,1,3,101,1,leading/trailing
1,2,694,1,6,1,2.42,694,1,3,101,1,IN/OUT
1,1,24,2,4,1,2.22,24,1,2,101,1,IN/OUT
1,4,180,3,6,1,3.31,180,1,3,101,1,leading/trailing
