Heaven/Earth 0=Heaven; 1=Earth,Condition: 1= In Play; 2=Out of play; 3=leading; 4=trailing,Number Requested,"X: 1=Left most column, counting to the right to max of 2 or 3","Y: 1 equals top row (i.e., out of play heavenly bead), counting downwards to 7. ",Correct on Search task? Trials weith incorrect search responses were excluded from analysis,RT,Abacus entered: Only relevent to dual task,Correct on Abacus: only relevent to dual task,"Number of columns: occasionally you will see 0s in this column, this means the participant was in a pilot version with 4 columns and should be excluded. ",Subject Number: Assigned when extracted from .mat instead of alpha numeric number to make some things in life easier,<3Std Dev: removing outliers (2s). Calculated in linear space. Needs to be redone in log space,Inout or Leading trailing trial,Subject ID,One/Two conditions,Order,Subj ID across Experiments for within subject analysis of order
0,1,52,1,2,1,2.5743105,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,2,293,1,7,1,2.052424,0,0,3,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,4,60,2,6,1,1.7070978,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,1,79,1,3,1,1.6686526,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,1,48,1,3,1,1.1998134,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
0,4,40,2,1,1,1.8732611,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,2,613,2,7,1,3.6519114,0,0,3,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,3,4,1,7,1,1.437867,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
0,1,665,3,2,1,2.9494598,0,0,3,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
0,4,760,3,1,1,1.8732454,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,1,292,3,4,1,1.6823936,0,0,3,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,3,53,1,4,1,2.0121937,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,4,280,3,5,1,1.6558484,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,3,3,1,7,1,2.7476537,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,3,5,1,4,1,1.0889998,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,1,766,2,3,1,3.4632559,0,0,3,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
0,4,60,2,1,1,1.8045033,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,1,207,1,4,1,1.265052,0,0,3,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,4,10,2,6,1,1.095657,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
0,2,550,3,1,1,1.5420383,0,0,3,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,3,27,1,6,1,1.1333968,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,4,110,3,6,1,1.0198809,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
