Heaven/Earth 0=Heaven; 1=Earth,Condition: 1= In Play; 2=Out of play; 3=leading; 4=trailing,Number Requested,"X: 1=Left most column, counting to the right to max of 2 or 3","Y: 1 equals top row (i.e., out of play heavenly bead), counting downwards to 7. ",Correct on Search task? Trials weith incorrect search responses were excluded from analysis,RT,Abacus entered: Only relevent to dual task,Correct on Abacus: only relevent to dual task,"Number of columns: occasionally you will see 0s in this column, this means the participant was in a pilot version with 4 columns and should be excluded. ",Subject Number: Assigned when extracted from .mat instead of alpha numeric number to make some things in life easier,<3Std Dev: removing outliers (2s). Calculated in linear space. Needs to be redone in log space,Inout or Leading trailing trial,Expertise level: ranges from 0 (none) to 2(has used abacus)
1,2,35,2,4,1,2.35,0,0,2,301,1,IN/Out,2
1,2,915,2,6,1,1.12,0,0,3,301,1,IN/Out,2
0,1,54,1,2,1,0.79,0,0,2,301,1,IN/Out,2
0,4,90,2,1,1,1.58,0,0,2,301,1,leading/trailing,2
1,4,40,2,4,1,0.999,0,0,2,301,1,leading/trailing,2
0,3,3,1,1,1,0.855,0,0,2,301,1,leading/trailing,2
1,1,97,2,3,1,0.719,0,0,2,301,1,IN/Out,2
0,2,53,2,1,1,0.777,0,0,2,301,1,IN/Out,2
1,3,4,1,4,1,1.09,0,0,2,301,1,leading/trailing,2
1,3,76,1,6,0,1.21,0,0,3,301,1,leading/trailing,2
1,2,19,1,6,1,1.39,0,0,2,301,1,IN/Out,2
1,1,810,2,3,1,0.784,0,0,3,301,1,IN/Out,2
0,1,67,1,2,1,0.762,0,0,2,301,1,IN/Out,2
1,1,71,3,3,0,0.842,0,0,3,301,1,IN/Out,2
1,1,643,3,3,1,0.912,0,0,3,301,1,IN/Out,2
1,3,6,1,5,1,0.965,0,0,2,301,1,leading/trailing,2
1,4,850,3,5,1,1.71,0,0,3,301,1,leading/trailing,2
1,1,14,2,5,1,1.72,0,0,2,301,1,IN/Out,2
1,2,84,1,7,1,1.19,0,0,2,301,1,IN/Out,2
1,3,2,1,4,1,1.02,0,0,2,301,1,leading/trailing,2
1,4,950,3,5,1,1.29,0,0,3,301,1,leading/trailing,2
1,4,20,2,6,1,0.863,0,0,2,301,1,leading/trailing,2
1,1,63,2,4,1,0.667,0,0,2,301,1,IN/Out,2
1,2,945,3,4,1,0.687,0,0,3,301,1,IN/Out,2
0,3,51,1,1,1,1.11,0,0,3,301,1,leading/trailing,2
0,4,90,2,1,1,1.06,0,0,2,301,1,leading/trailing,2
0,2,238,1,1,1,0.836,0,0,3,301,1,IN/Out,2
1,4,20,2,5,1,1.64,0,0,2,301,1,leading/trailing,2
1,4,20,2,4,1,0.632,0,0,2,301,1,leading/trailing,2
1,2,672,2,7,1,1.42,0,0,3,301,1,IN/Out,2
0,4,80,2,1,1,1.08,0,0,2,301,1,leading/trailing,2
1,3,4,1,5,1,1.55,0,0,2,301,1,leading/trailing,2
1,2,74,1,7,1,1.67,0,0,2,301,1,IN/Out,2
1,2,90,2,6,1,1.02,0,0,2,301,1,IN/Out,2
1,2,585,3,4,1,0.703,0,0,3,301,1,IN/Out,2
1,2,120,2,6,1,0.937,0,0,3,301,1,IN/Out,2
0,3,76,1,1,1,1.15,0,0,3,301,1,leading/trailing,2
1,4,530,3,5,1,0.987,0,0,3,301,1,leading/trailing,2
0,3,89,1,1,1,1.13,0,0,3,301,1,leading/trailing,2
1,1,369,3,5,1,1.31,0,0,3,301,1,IN/Out,2
1,1,53,2,3,1,0.583,0,0,2,301,1,IN/Out,2
1,3,27,1,4,1,0.854,0,0,3,301,1,leading/trailing,2
1,3,6,1,6,1,1.02,0,0,2,301,1,leading/trailing,2
1,1,88,2,3,1,0.667,0,0,2,301,1,IN/Out,2
1,2,383,3,7,1,1.06,0,0,3,301,1,IN/Out,2
1,3,39,1,4,1,0.708,0,0,3,301,1,leading/trailing,2
1,4,660,3,5,1,0.967,0,0,3,301,1,leading/trailing,2
1,2,759,2,4,1,0.673,0,0,3,301,1,IN/Out,2
1,1,35,1,4,1,0.798,0,0,2,301,1,IN/Out,2
1,1,49,2,3,1,0.783,0,0,3,301,1,IN/Out,2
1,2,45,2,6,1,2.37,0,0,2,301,1,IN/Out,2
1,4,650,3,4,1,0.731,0,0,3,301,1,leading/trailing,2
0,1,339,3,2,1,0.655,0,0,3,301,1,IN/Out,2
1,3,2,1,4,1,0.82,0,0,2,301,1,leading/trailing,2
1,4,860,3,5,1,1.03,0,0,3,301,1,leading/trailing,2
1,2,25,1,7,1,1.57,0,0,2,301,1,IN/Out,2
1,1,98,2,5,1,1.34,0,0,3,301,1,IN/Out,2
1,1,766,1,3,1,1.1,0,0,3,301,1,IN/Out,2
0,2,156,1,1,1,0.843,0,0,3,301,1,IN/Out,2
1,3,47,1,5,1,1.46,0,0,3,301,1,leading/trailing,2
1,2,95,2,5,1,0.941,0,0,2,301,1,IN/Out,2
1,2,718,2,6,0,1.59,0,0,3,301,1,IN/Out,2
1,4,70,2,5,1,0.968,0,0,2,301,1,leading/trailing,2
1,3,8,1,6,1,1.03,0,0,2,301,1,leading/trailing,2
0,3,2,1,1,1,1.58,0,0,2,301,1,leading/trailing,2
0,1,252,2,2,1,0.746,0,0,3,301,1,IN/Out,2
1,4,90,2,6,1,1.03,0,0,2,301,1,leading/trailing,2
0,1,63,2,2,1,0.975,0,0,3,301,1,IN/Out,2
0,1,148,3,2,1,0.624,0,0,3,301,1,IN/Out,2
0,3,58,1,1,1,1.56,0,0,3,301,1,leading/trailing,2
1,1,798,1,4,1,1.07,0,0,3,301,1,IN/Out,2
1,1,75,1,4,1,0.637,0,0,2,301,1,IN/Out,2
1,2,457,3,7,1,0.794,0,0,3,301,1,IN/Out,2
0,1,5,2,2,1,0.824,0,0,2,301,1,IN/Out,2
1,3,89,1,4,1,0.868,0,0,3,301,1,leading/trailing,2
0,4,710,3,1,1,0.993,0,0,3,301,1,leading/trailing,2
1,1,192,3,3,1,0.75,0,0,3,301,1,IN/Out,2
1,4,10,2,4,1,0.608,0,0,2,301,1,leading/trailing,2
1,2,66,1,5,1,0.99,0,0,2,301,1,IN/Out,2
1,1,968,3,3,1,0.675,0,0,3,301,1,IN/Out,2
1,3,36,1,7,1,1.74,0,0,3,301,1,leading/trailing,2
1,1,906,1,3,1,0.743,0,0,3,301,1,IN/Out,2
1,3,9,1,6,0,1.01,0,0,2,301,1,leading/trailing,2
1,4,150,3,7,1,0.793,0,0,3,301,1,leading/trailing,2
1,3,1,1,7,1,0.889,0,0,2,301,1,leading/trailing,2
1,1,9,2,4,1,0.621,0,0,2,301,1,IN/Out,2
0,2,1,1,1,1,2.23,0,0,3,301,1,IN/Out,2
1,4,60,2,7,1,0.959,0,0,2,301,1,leading/trailing,2
0,4,120,3,1,1,0.758,0,0,3,301,1,leading/trailing,2
1,3,74,1,4,1,0.782,0,0,3,301,1,leading/trailing,2
1,3,9,1,5,1,1,0,0,2,301,1,leading/trailing,2
1,4,70,2,7,1,0.86,0,0,2,301,1,leading/trailing,2
1,3,8,1,4,1,0.6,0,0,2,301,1,leading/trailing,2
1,2,417,3,6,1,0.744,0,0,3,301,1,IN/Out,2
1,2,13,1,6,1,0.769,0,0,2,301,1,IN/Out,2
1,2,67,1,5,1,0.898,0,0,2,301,1,IN/Out,2
1,1,94,1,5,1,0.956,0,0,2,301,1,IN/Out,2
1,1,22,3,4,1,0.637,0,0,3,301,1,IN/Out,2
0,4,190,3,1,1,0.754,0,0,3,301,1,leading/trailing,2
1,3,22,1,5,1,0.843,0,0,3,301,1,leading/trailing,2
1,1,97,1,6,1,0.953,0,0,2,301,1,IN/Out,2
1,2,481,3,6,1,0.69,0,0,3,301,1,IN/Out,2
0,2,74,2,1,1,1.15,0,0,2,301,1,IN/Out,2
1,3,16,1,7,1,1.06,0,0,3,301,1,leading/trailing,2
1,4,90,2,4,1,0.593,0,0,2,301,1,leading/trailing,2
1,4,50,2,6,1,0.842,0,0,2,301,1,leading/trailing,2
1,2,73,2,7,1,0.637,0,0,2,301,1,IN/Out,2
1,3,42,1,7,1,1.11,0,0,3,301,1,leading/trailing,2
0,3,4,1,1,1,1.1,0,0,2,301,1,leading/trailing,2
0,4,750,3,1,1,0.686,0,0,3,301,1,leading/trailing,2
1,4,70,2,6,1,0.986,0,0,2,301,1,leading/trailing,2
1,4,310,3,5,1,0.602,0,0,3,301,1,leading/trailing,2
1,4,920,3,7,0,2.03,0,0,3,301,1,leading/trailing,2
0,2,11,1,1,1,1.32,0,0,2,301,1,IN/Out,2
0,4,90,2,1,1,1.03,0,0,2,301,1,leading/trailing,2
1,4,910,3,5,1,0.686,0,0,3,301,1,leading/trailing,2
1,3,9,1,5,1,2.04,0,0,2,301,1,leading/trailing,2
1,4,380,3,5,1,0.71,0,0,3,301,1,leading/trailing,2
1,2,855,1,7,1,0.968,0,0,3,301,1,IN/Out,2
1,1,49,2,5,1,0.864,0,0,2,301,1,IN/Out,2
1,4,660,3,5,1,0.906,0,0,3,301,1,leading/trailing,2
1,3,97,1,7,1,0.791,0,0,3,301,1,leading/trailing,2
1,3,37,1,6,1,1.07,0,0,3,301,1,leading/trailing,2
1,1,75,1,3,1,0.862,0,0,2,301,1,IN/Out,2
0,2,440,3,1,1,0.785,0,0,3,301,1,IN/Out,2
0,3,9,1,1,1,1.31,0,0,2,301,1,leading/trailing,2
0,2,45,1,1,1,1.08,0,0,2,301,1,IN/Out,2
0,1,19,2,2,1,0.705,0,0,2,301,1,IN/Out,2
1,3,32,1,7,1,5.24,0,0,3,302,1,leading/trailing,0
1,3,74,1,6,1,1.46,0,0,3,302,1,leading/trailing,0
1,3,79,1,4,1,2.16,0,0,3,302,1,leading/trailing,0
0,1,57,2,2,1,2.09,0,0,2,302,1,IN/Out,0
1,1,28,1,4,1,2.74,0,0,2,302,1,IN/Out,0
1,1,251,3,3,1,1.6,0,0,3,302,1,IN/Out,0
